sample;annotation
кола добрый;[(0, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
кола с карамелью;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 16, 'O')]
кола с са;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 9, 'O')]
кола с сах;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 10, 'O')]
колаг;[(0, 5, 'B-TYPE')]
колбаа;[(0, 6, 'B-TYPE')]
колбака;[(0, 7, 'B-TYPE')]
колбап;[(0, 6, 'B-TYPE')]
колбас;[(0, 6, 'B-TYPE')]
колбас,;[(0, 7, 'B-TYPE')]
колбаса;[(0, 7, 'B-TYPE')]
колбаса ароматная;[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
колбаса без жира;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
колбаса без лактозы;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
колбаса брауншвейгская;[(0, 7, 'B-TYPE'), (8, 22, 'I-TYPE')]
колбаса в нар;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 13, 'O')]
колбаса в наре;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 14, 'O')]
колбаса в нарезке;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
колбаса варе;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
колбаса варен;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
колбаса вареная;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса вареная с говядиной;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 17, 'O'), (18, 27, 'O')]
колбаса варенка;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса варено-копченая;[(0, 7, 'B-TYPE'), (8, 23, 'I-TYPE')]
колбаса варёная;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса варёно копчёная;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 23, 'I-TYPE')]
колбаса ветчина;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса вязанка;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса вязанка молокуша;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 24, 'B-BRAND')]
колбаса док;[(0, 7, 'B-TYPE'), (8, 11, 'I-TYPE')]
колбаса доктор;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
колбаса докторс;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса докторская без глютена;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 22, 'O'), (23, 30, 'O')]
колбаса докторская в нарезке;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 20, 'O'), (21, 28, 'O')]
колбаса докторская вязанка;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 26, 'B-BRAND')]
колбаса доя окросшки;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
колбаса зернистая;[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
колбаса золотой рог;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 19, 'I-BRAND')]
колбаса из индейки;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'B-TYPE')]
колбаса индейка;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса итальянская салями;[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE'), (20, 26, 'I-TYPE')]
колбаса к окрошке;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
колбаса кавказская;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
колбаса копч;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
колбаса копче;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
колбаса копченая;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса копченая папа может;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 21, 'B-BRAND'), (22, 27, 'I-BRAND')]
колбаса краковская;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
колбаса красная;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса кремлевская;[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]
колбаса литовская;[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
колбаса любительская;[(0, 7, 'B-TYPE'), (8, 20, 'I-TYPE')]
колбаса молочная;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса московская;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
колбаса мясная;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
колбаса нарезка;[(0, 7, 'B-TYPE'), (8, 15, 'O')]
колбаса нарезка докторская;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 26, 'I-TYPE')]
колбаса нарезка ремит;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 21, 'B-BRAND')]
колбаса нарезка с перцем;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 17, 'O'), (18, 24, 'O')]
колбаса окраина брауншвейгская;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 30, 'I-BRAND')]
колбаса останкино ароматная;[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND'), (18, 27, 'I-TYPE')]
колбаса охотничья;[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
колбаса папа;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
колбаса папа может;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
колбаса печёночная;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
колбаса полукопченая;[(0, 7, 'B-TYPE'), (8, 20, 'I-TYPE')]
колбаса полукопченая халяль;[(0, 7, 'B-TYPE'), (8, 20, 'I-TYPE'), (21, 27, 'I-TYPE')]
колбаса полукопчёная;[(0, 7, 'B-TYPE'), (8, 20, 'I-TYPE')]
колбаса пражская;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса престиж;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса прима;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
колбаса ремит докторская;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 24, 'I-TYPE')]
колбаса русская;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса с грудинкой;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 19, 'O')]
колбаса с трюфелем;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O')]
колбаса с чесноком;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O')]
колбаса сальчичон;[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
колбаса салями;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
колбаса сервелат;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса спк коньячная;[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND'), (12, 21, 'I-BRAND')]
колбаса сыровяленая;[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]
колбаса сырок;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
колбаса сыроко;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
колбаса сырокоп;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
колбаса сырокопч;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса сырокопченая;[(0, 7, 'B-TYPE'), (8, 20, 'I-TYPE')]
колбаса сырокопченная;[(0, 7, 'B-TYPE'), (8, 21, 'I-TYPE')]
колбаса сырокопчёная;[(0, 7, 'B-TYPE'), (8, 20, 'I-TYPE')]
колбаса сырокопчёная нарезка;[(0, 7, 'B-TYPE'), (8, 20, 'I-TYPE'), (21, 28, 'I-TYPE')]
колбаса тз индейки;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
колбаса филейная;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса финский серви;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 21, 'I-BRAND')]
колбаса флотская;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса челны-мя;[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]
колбаса челны-мяс;[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND')]
колбаса челны-мясо;[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND')]
колбаса черкизово астория;[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND'), (18, 25, 'I-BRAND')]
колбаса чесночная;[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
колбаса языковая;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса яичная;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
колбаса1;[(0, 8, 'B-TYPE')]
колбаса9;[(0, 8, 'B-TYPE')]
колбасаi;[(0, 8, 'B-TYPE')]
колбаса{;[(0, 8, 'B-TYPE')]
колбасаж;[(0, 8, 'B-TYPE')]
колбасами;[(0, 9, 'B-TYPE')]
колбасао;[(0, 8, 'B-TYPE')]
колбасат;[(0, 8, 'B-TYPE')]
колбасаф;[(0, 8, 'B-TYPE')]
колбасах;[(0, 8, 'B-TYPE')]
колбасаы;[(0, 8, 'B-TYPE')]
колбасаэ;[(0, 8, 'B-TYPE')]
колбаса⁹;[(0, 8, 'B-TYPE')]
колбасеа;[(0, 8, 'B-TYPE')]
колбаск;[(0, 7, 'B-TYPE')]
колбаски;[(0, 8, 'B-TYPE')]
колбаски cherkizo;[(0, 8, 'B-TYPE'), (9, 17, 'B-BRAND')]
колбаски cherkizov;[(0, 8, 'B-TYPE'), (9, 18, 'B-BRAND')]
колбаски cherkizovo;[(0, 8, 'B-TYPE'), (9, 19, 'B-BRAND')]
колбаски веле;[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
колбаски велес;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
колбаски для бар;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 16, 'O')]
колбаски для гриля;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
колбаски для дарки;[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE'), (13, 18, 'I-TYPE')]
колбаски для жаики;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
колбаски доя жарки;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
колбаски копченые;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
колбаски куриные;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
колбаски окраи;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
колбаски окраина;[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]
колбаски охотничьи;[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
колбаски ск;[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
колбаски ски;[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
колбаски скиф;[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
колбаскм;[(0, 8, 'B-TYPE')]
колбаскюа;[(0, 9, 'B-TYPE')]
колбасные издел;[(0, 9, 'B-TYPE'), (10, 15, 'I-TYPE')]
колбасные изделия;[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE')]
колбасный;[(0, 9, 'B-TYPE')]
колбасо;[(0, 7, 'B-TYPE')]
колбасок;[(0, 8, 'B-TYPE')]
колбасок окраи;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
колбасок окраин;[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
колбасок окраина;[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]
колбасп;[(0, 7, 'B-TYPE')]
колбаспа;[(0, 8, 'B-TYPE')]
колбасу;[(0, 7, 'B-TYPE')]
колбасщ;[(0, 7, 'B-TYPE')]
колбасы;[(0, 7, 'B-TYPE')]
колбасы р;[(0, 7, 'B-TYPE'), (8, 9, 'B-BRAND')]
колбасы рм;[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]
колбач;[(0, 6, 'B-TYPE')]
колбача;[(0, 7, 'B-TYPE')]
колбвса;[(0, 7, 'B-TYPE')]
колбкса;[(0, 7, 'B-TYPE')]
колблбаса;[(0, 9, 'B-TYPE')]
колбома;[(0, 7, 'B-TYPE')]
колбоса;[(0, 7, 'B-TYPE')]
колбоса в наркзке;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
колбоча;[(0, 7, 'B-TYPE')]
колбски;[(0, 7, 'B-TYPE')]
колбсныеиздеия;[(0, 14, 'O')]
колго;[(0, 5, 'B-TYPE')]
колгот;[(0, 6, 'B-TYPE')]
колгот.;[(0, 7, 'B-TYPE')]
колгот. diwar;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
колгот. diwari;[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
колгот. gabrie;[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
колгот. gabriel;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
колгот. gabriela;[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]
колгот. incan;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
колгот. incant;[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
колгот. incanto;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
колгот. opi;[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
колгот. opium;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
колгот. помпе;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
колгот. помпея;[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
колготеи;[(0, 8, 'B-TYPE')]
колготки 4 размер;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
колготки art;[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
колготки artie;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
колготки размер 5;[(0, 8, 'B-TYPE'), (9, 15, 'O'), (16, 17, 'O')]
колготки черные;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
колень;[(0, 6, 'B-TYPE')]
колеса папа может;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 17, 'I-BRAND')]
колеты;[(0, 6, 'B-TYPE')]
колечки;[(0, 7, 'B-TYPE')]
колечки на крылечке;[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 19, 'I-BRAND')]
колечкм;[(0, 7, 'B-TYPE')]
колиандрка;[(0, 10, 'B-TYPE')]
колибри;[(0, 7, 'B-BRAND')]
колибри если;[(0, 7, 'B-BRAND'), (8, 12, 'O')]
колкбаса;[(0, 8, 'B-TYPE')]
коллекция наволоч;[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
колло;[(0, 5, 'B-TYPE')]
колмбаса;[(0, 8, 'B-TYPE')]
коло;[(0, 4, 'B-TYPE')]
кологт.;[(0, 7, 'B-TYPE')]
колоки;[(0, 6, 'B-TYPE')]
колом;[(0, 5, 'B-TYPE')]
коломе;[(0, 6, 'B-TYPE')]
коломенский кто-нибудь;[(0, 11, 'B-BRAND'), (12, 22, 'O')]
коломчаночка пасти;[(0, 12, 'B-BRAND'), (13, 18, 'B-TYPE')]
колонки;[(0, 7, 'B-TYPE')]
колонки или;[(0, 7, 'B-TYPE'), (8, 11, 'O')]
колотый гор;[(0, 7, 'B-TYPE'), (8, 11, 'I-TYPE')]
колотый горо;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
колотый горох;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
колп;[(0, 4, 'B-TYPE')]
колпа;[(0, 5, 'B-TYPE')]
колпак;[(0, 6, 'B-TYPE')]
колпаса;[(0, 7, 'B-TYPE')]
колпачки;[(0, 8, 'B-TYPE')]
колсбаса;[(0, 8, 'B-TYPE')]
колу;[(0, 4, 'B-BRAND')]
колчбаса;[(0, 8, 'B-TYPE')]
кольаса в нарезке;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
кольбаса;[(0, 8, 'B-TYPE')]
кольраби;[(0, 8, 'B-TYPE')]
кольц;[(0, 5, 'B-TYPE')]
кольца кальмара;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
кольца творожные;[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
колюаски;[(0, 8, 'B-TYPE')]
комамбер;[(0, 8, 'B-BRAND')]
комацо май;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
комацо майк;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
комацо майка;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
комбие;[(0, 6, 'O')]
комбинезо;[(0, 9, 'B-TYPE')]
комбинезон;[(0, 10, 'B-TYPE')]
комбинезон срочно;[(0, 10, 'B-TYPE'), (11, 17, 'O')]
комбинезоны;[(0, 11, 'B-TYPE')]
комбинеон;[(0, 9, 'B-TYPE')]
комбо;[(0, 5, 'B-TYPE')]
комбуча;[(0, 7, 'B-TYPE')]
комекты оджды;[(0, 7, 'O'), (8, 13, 'O')]
комкующийся;[(0, 11, 'B-TYPE')]
комп;[(0, 4, 'B-TYPE')]
компле;[(0, 6, 'B-TYPE')]
комплекты;[(0, 9, 'B-TYPE')]
комплекты одеж;[(0, 9, 'B-TYPE'), (10, 14, 'I-TYPE')]
комплекты одежд;[(0, 9, 'B-TYPE'), (10, 15, 'I-TYPE')]
комплекты одежды;[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
компо;[(0, 5, 'B-TYPE')]
компоа;[(0, 6, 'B-TYPE')]
компот;[(0, 6, 'B-TYPE')]
компот corra;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
компот m;[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND')]
компот mo;[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
компот moi;[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
компот агу;[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
компот агуш;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
компот агуша;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
компот детский;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
компот м;[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND')]
компот мо;[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
компот ростагроэкспо;[(0, 6, 'B-TYPE'), (7, 20, 'B-BRAND')]
компот ростагроэкспор;[(0, 6, 'B-TYPE'), (7, 21, 'B-BRAND')]
компот ростагроэкспорт;[(0, 6, 'B-TYPE'), (7, 22, 'B-BRAND')]
компот фруто няня;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
компот фрутоня;[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
компот фрутонян;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
компот фрутоняня;[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
компота;[(0, 7, 'B-TYPE')]
компотеая;[(0, 9, 'B-TYPE')]
компотеый;[(0, 9, 'B-TYPE')]
компотик;[(0, 8, 'B-TYPE')]
компотн;[(0, 7, 'B-TYPE')]
компотна;[(0, 8, 'B-TYPE')]
компотная;[(0, 9, 'B-TYPE')]
компотная,;[(0, 10, 'B-TYPE')]
компотнаясмесь;[(0, 14, 'B-TYPE')]
компотоная;[(0, 10, 'B-TYPE')]
компотты;[(0, 8, 'B-TYPE')]
компоты;[(0, 7, 'B-TYPE')]
компоты globus;[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
компоты is;[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]
компоты iska;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
компоты агрокомпле;[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND')]
компоты агрокомплек;[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]
компоты вер;[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
компоты вере;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
компоты верес;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
компоты чу;[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]
компоты чуд;[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
компоты чудо;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
компоь;[(0, 6, 'B-TYPE')]
компт;[(0, 5, 'B-TYPE')]
компьюте;[(0, 8, 'B-TYPE')]
компьютер;[(0, 9, 'B-TYPE')]
компьютеры;[(0, 10, 'B-TYPE')]
комсетика;[(0, 9, 'B-TYPE')]
кому-нибудь atmosphere;[(0, 11, 'O'), (12, 22, 'B-BRAND')]
кому-нибудь cheetos;[(0, 11, 'O'), (12, 19, 'B-BRAND')]
кому-нибудь comazo;[(0, 11, 'O'), (12, 18, 'B-BRAND')]
кому-нибудь letto;[(0, 11, 'O'), (12, 17, 'B-BRAND')]
кому-нибудь сава;[(0, 11, 'O'), (12, 16, 'B-BRAND')]
кому-нибудь сливы;[(0, 11, 'O'), (12, 17, 'B-TYPE')]
комфорт;[(0, 7, 'B-TYPE')]
комфорт подушк;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
комфорт подушки;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
комфорт таз;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
комфорт тазы;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
конва;[(0, 5, 'O')]
конверт;[(0, 7, 'B-TYPE')]
конверт с ве;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 12, 'O')]
конверт с ветвиной;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O')]
конвертик;[(0, 9, 'B-TYPE')]
конвертик мастер пирогов;[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND'), (17, 24, 'I-BRAND')]
конверттк;[(0, 9, 'B-TYPE')]
конверты;[(0, 8, 'B-TYPE')]
конд;[(0, 4, 'B-TYPE')]
кондета;[(0, 7, 'B-TYPE')]
кондеционер для белья;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
конди;[(0, 5, 'B-BRAND')]
кондинционер для белья;[(0, 12, 'B-TYPE'), (13, 16, 'O'), (17, 22, 'O')]
кондите;[(0, 7, 'B-TYPE')]
кондитер;[(0, 8, 'B-TYPE')]
кондитерка;[(0, 10, 'B-TYPE')]
кондитерские издел;[(0, 12, 'B-TYPE'), (13, 18, 'I-TYPE')]
кондитерские изделия;[(0, 12, 'B-TYPE'), (13, 20, 'I-TYPE')]
кондиуионер для белья;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
кондицанер для быля;[(0, 10, 'B-TYPE'), (11, 14, 'O'), (15, 19, 'O')]
кондицио;[(0, 8, 'B-TYPE')]
кондициогер за до;[(0, 11, 'B-TYPE'), (12, 14, 'O'), (15, 17, 'O')]
кондицион для белья;[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 19, 'O')]
кондиционер для белье;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
кондиционер для детского;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 24, 'O')]
кондиционер для одежды;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 22, 'O')]
кондиционер для стирк;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
кондиционер доя волос;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
кондиционер доя стирки;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 22, 'O')]
кондиционер.;[(0, 12, 'B-TYPE')]
кондиционеры;[(0, 12, 'B-TYPE')]
кондицтонер;[(0, 11, 'B-TYPE')]
кондицттнер;[(0, 11, 'B-TYPE')]
кондицыонер для белья;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
конеты;[(0, 6, 'B-TYPE')]
конефеты;[(0, 8, 'B-TYPE')]
конжей;[(0, 6, 'B-TYPE')]
конжьяка;[(0, 8, 'B-TYPE')]
кониандр;[(0, 8, 'B-TYPE')]
коница;[(0, 6, 'B-TYPE')]
конишон;[(0, 7, 'B-TYPE')]
конишоны;[(0, 8, 'B-TYPE')]
конлиционер для белья;[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
конм;[(0, 4, 'B-TYPE')]
конм для рук;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 12, 'O')]
конопли;[(0, 7, 'B-TYPE')]
конопляная;[(0, 10, 'B-TYPE')]
конс;[(0, 4, 'B-TYPE')]
консев;[(0, 6, 'B-TYPE')]
консер4;[(0, 7, 'B-TYPE')]
консераы;[(0, 8, 'B-TYPE')]
консерва;[(0, 8, 'B-TYPE')]
консерваф;[(0, 9, 'B-TYPE')]
консервация;[(0, 11, 'B-TYPE')]
консервв;[(0, 8, 'B-TYPE')]
консервва;[(0, 9, 'B-TYPE')]
консервированны;[(0, 15, 'B-TYPE')]
консервированные;[(0, 16, 'B-TYPE')]
консервированные томаты;[(0, 16, 'B-TYPE'), (17, 23, 'I-TYPE')]
консервированный;[(0, 16, 'B-TYPE')]
консервп;[(0, 8, 'B-TYPE')]
консервф;[(0, 8, 'B-TYPE')]
консервы;[(0, 8, 'B-TYPE')]
консервы в соку;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 15, 'O')]
консервы в томате;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
консервы в томатном соусе;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 19, 'O'), (20, 25, 'O')]
консервы горбуша;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
консервы горбуши в масле;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 18, 'O'), (19, 24, 'O')]
консервы диабетическ;[(0, 8, 'B-TYPE'), (9, 20, 'I-TYPE')]
консервы диабетические;[(0, 8, 'B-TYPE'), (9, 22, 'I-TYPE')]
консервы для собак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
консервы из красной рыбы;[(0, 8, 'B-TYPE'), (9, 11, 'I-TYPE'), (12, 19, 'I-TYPE'), (20, 24, 'I-TYPE')]
консервы из рыбы;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 16, 'O')]
консервы кусков;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
консервы кусковы;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
консервы кусковые;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
консервы мясные;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
консервы рыбн;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
